Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
CUTALP		9q33.2	AMP	1	523	0.2%	No
SPATA16		3q26.31	AMP	114	1537	7.4%	No
RTP2		3q27.3	AMP	99	1537	6.4%	No
C9ORF147		9q32	AMP	2	539	0.4%	No
SSX7		Xp11.22	AMP	17	1537	1.1%	No
SNORA73B		1p35.3	HOMDEL	3	539	0.6%	No
BRI3BP		12q24.31	AMP	15	1425	1.1%	No
ADARB2		10p15.3	AMP	29	1537	1.9%	No
ABCA17P		16p13.3	HOMDEL	1	539	0.2%	No
CHD5		1p36.31	HOMDEL	7	1481	0.5%	No
SBDS		7q11.21	AMP	14	1425	1.0%	Yes
SLC25A38		3p22.1	AMP	7	1425	0.5%	No
CSRNP3		2q24.3	AMP	8	1174	0.7%	No
PHGR1		15q15.1	AMP	4	1118	0.4%	No
SECISBP2		9q22.2	AMP	8	1425	0.6%	No
UACA		15q23	AMP	14	1537	0.9%	No
LRRC47		1p36.32	AMP	9	1481	0.6%	No
ATP2A1-AS1		16p11.2	AMP	8	579	1.4%	No
ZBTB18		1q44	AMP	61	1537	4.0%	No
C12ORF56		12q14.2	AMP	1	56	1.8%	No
RNA5SP300		10p13	AMP	9	595	1.5%	No
OR8G2P		11q24.2	HOMDEL	8	942	0.8%	No
CCDC153		11q23.3	AMP	17	1537	1.1%	No
COL4A5		Xq22.3	HOMDEL	2	1062	0.2%	No
CELA3A		1p36.12	HOMDEL	10	1481	0.7%	No
OR4C16		11q11	AMP	9	1174	0.8%	No
GPR146		7p22.3	HOMDEL	4	1062	0.4%	No
SAMD10		20q13.33	AMP	66	1537	4.3%	No
RNA5SP305		10p12.1	AMP	5	539	0.9%	No
SLC25A17		22q13.2	AMP	23	1425	1.6%	No
NARF		17q25.3	HOMDEL	2	1062	0.2%	No
DDX39A		19p13.12	AMP	75	1537	4.9%	No
OR7D2		19p13.2	HOMDEL	5	1062	0.5%	No
KNTC1		12q24.31	AMP	6	1425	0.4%	No
ATP5MK		10q24.33	AMP	13	1425	0.9%	No
DNASE2		19p13.13	HOMDEL	1	539	0.2%	No
DLGAP2		8p23.3	HOMDEL	59	1537	3.8%	No
RNA5SP78		1q42.13	AMP	15	595	2.5%	No
RABL6		9q34.3	HOMDEL	3	902	0.3%	No
LRTM2		12p13.33	AMP	24	1537	1.6%	No
INSL3		19p13.11	AMP	63	1537	4.1%	No
RN7SL491P		19q13.12	AMP	38	595	6.4%	No
RN7SL16P		4p15.2	HOMDEL	2	539	0.4%	No
FAM106A		17p11.2	AMP	13	1537	0.8%	No
BCAS1		20q13.2	AMP	54	1537	3.5%	No
ADAM30		1p12	HOMDEL	3	1425	0.2%	No
SLC9A6		Xq26.3	AMP	3	958	0.3%	No
OR4C11		11q11	AMP	9	1174	0.8%	No
RN7SL482P		3p14.1	AMP	7	595	1.2%	No
OR51A7		11p15.4	HOMDEL	5	1062	0.5%	No
PSMD14		2q24.2	AMP	7	1174	0.6%	No
RNA5SP304		10p12.2	AMP	7	539	1.3%	No
GPAA1		8q24.3	HOMDEL	3	1425	0.2%	No
RN7SKP35		4q31.3	HOMDEL	2	539	0.4%	No
ABHD16B		20q13.33	AMP	66	1537	4.3%	No
KRTAP9-2		17q21.2	AMP	7	942	0.7%	No
TMEM272		13q14.3	HOMDEL	1	56	1.8%	No
ADCY1		7p12.3	AMP	13	1425	0.9%	No
HDAC9		7p21.1	AMP	27	1425	1.9%	No
LINC01250		2p25.3	HOMDEL	1	56	1.8%	No
FAM110D		1p36.11	HOMDEL	7	1481	0.5%	No
LOXHD1		18q21.1	AMP	7	1537	0.5%	No
RN7SL787P		9q13	HOMDEL	2	539	0.4%	No
C8ORF48		8p22	HOMDEL	50	1537	3.3%	No
RNA5SP303		10p12.31	AMP	7	539	1.3%	No
RNA5SP77		1q42.13	AMP	16	595	2.7%	No
ABCC2		10q24.2	AMP	4	902	0.4%	No
CAMK1		3p25.3	AMP	11	1537	0.7%	No
API5		11p12	AMP	12	1174	1.0%	No
RN7SL469P		15q13.2	AMP	4	539	0.7%	No
ATP5PD		17q25.1	AMP	32	1537	2.1%	No
ATRAID		2p23.3	AMP	30	1537	2.0%	No
LINC01555		1p22.3	AMP	7	1118	0.6%	No
RNA5SP81		1q43	AMP	16	595	2.7%	No
PATE3		11q24.2	HOMDEL	12	1537	0.8%	No
PROS1		3q11.1	HOMDEL	2	902	0.2%	No
GPRASP1		Xq22.1	AMP	3	1062	0.3%	No
ADCY2		5p15.31	AMP	33	1425	2.3%	No
SLX4IP		20p12.2	HOMDEL	2	595	0.3%	No
PCNA		20p12.3	HOMDEL	1	539	0.2%	No
AKAP11		13q14.11	HOMDEL	5	1537	0.3%	No
LTB4R		14q12	AMP	6	1425	0.4%	No
RN7SL456P		7q35	AMP	5	595	0.8%	No
MRPS17		7p11.2	AMP	9	1425	0.6%	No
GSTCD		4q24	HOMDEL	6	1425	0.4%	No
ELN		7q11.23	HOMDEL	2	1062	0.2%	Yes
FLOT1		6p21.33	AMP	26	1537	1.7%	No
RNA5SP80		1q42.2	AMP	18	595	3.0%	No
UBE2E3		2q31.3	AMP	12	1537	0.8%	No
NDST3		4q26	HOMDEL	6	1425	0.4%	No
USP34		2p15	AMP	13	1537	0.8%	No
SNORD116-4		15q11.2	HOMDEL	4	579	0.7%	No
LCN2		9q34.11	HOMDEL	5	1425	0.4%	No
ADCY3		2p23.3	AMP	31	1537	2.0%	No
KRTAP3-2		17q21.2	AMP	7	942	0.7%	No
OR56A1		11p15.4	HOMDEL	5	1062	0.5%	No
RN7SL754P		10p15.3	HOMDEL	2	539	0.4%	No
ABHD14B		3p21.2	AMP	17	1425	1.2%	No
RNA5SP79		1q42.2	AMP	16	595	2.7%	No
TOPORS		9p21.1	AMP	8	1425	0.6%	No
TMA7		3p21.31	AMP	14	1425	1.0%	No
BARX2		11q24.3	AMP	11	1537	0.7%	No
ASAP2		2p25.1	HOMDEL	3	651	0.5%	No
LINC01950		5q21.3	HOMDEL	3	523	0.6%	No
TRABD2A		2p11.2	AMP	12	1537	0.8%	No
ATP6V1FNB		7q32.1	AMP	3	579	0.5%	No
PRG4		1q31.1	AMP	45	1481	3.0%	No
LACTB2		8q13.3	AMP	53	1537	3.4%	No
C11ORF68		11q13.1	AMP	21	1537	1.4%	No
RNA5SP84		2p25.1	AMP	15	595	2.5%	No
PLOD1		1p36.22	HOMDEL	6	1481	0.4%	No
ZNF772		19q13.43	HOMDEL	2	1062	0.2%	No
CYC1		8q24.3	HOMDEL	3	1425	0.2%	No
GUSBP4		6p11.2	HOMDEL	1	523	0.2%	No
RNF113B		13q32.2	HOMDEL	1	56	1.8%	No
RN7SL45P		17q11.2	AMP	12	595	2.0%	No
SETD1A		16p11.2	AMP	49	1537	3.2%	Yes
TMEM132A		11q12.2	AMP	10	1537	0.7%	No
RN7SL553P		3p26.1	AMP	4	539	0.7%	No
DET1		15q26.1	AMP	13	1425	0.9%	No
SLC39A14		8p21.3	HOMDEL	51	1537	3.3%	No
TMEM201		1p36.22	AMP	17	1537	1.1%	No
CTDSPL		3p22.2	AMP	7	1537	0.5%	No
ZNF461		19q13.13	AMP	61	1537	4.0%	No
ZMIZ2		7p13	AMP	26	1537	1.7%	No
RNA5SP82		1q44	AMP	20	595	3.4%	No
LINC00261		20p11.21	HOMDEL	2	539	0.4%	No
SNX7		1p21.3	AMP	5	1062	0.5%	No
HABP4		9q22.32	HOMDEL	6	902	0.7%	No
KIDINS220		2p25.1	HOMDEL	3	651	0.5%	No
NKX6-3		8p11.21	AMP	49	942	5.2%	No
GSC		14q32.13	HOMDEL	3	1425	0.2%	No
CCP110		16p12.3	AMP	12	1174	1.0%	No
PTOV1-AS1		19q13.33	AMP	7	579	1.2%	No
RN7SL567P		3p22.1	AMP	3	539	0.6%	No
ID2-AS1		2p25.1	AMP	9	579	1.6%	No
BANP		16q24.2	AMP	5	1425	0.4%	No
VWA5B1		1p36.12	AMP	9	1537	0.6%	No
PCYT1B		Xp22.11	HOMDEL	7	1481	0.5%	No
NEUROG1		5q31.1	HOMDEL	1	539	0.2%	No
TRIM52		5q35.3	HOMDEL	2	1062	0.2%	No
RN7SL681P		4q22.1	HOMDEL	1	539	0.2%	No
SNORA70E		11q	HOMDEL	2	1062	0.2%	No
ADTRP		6p24.1	AMP	52	1537	3.4%	No
CMKLR1		12q23.3	AMP	2	902	0.2%	No
RN7SL538P		1p31.1	AMP	4	539	0.7%	No
ANGPT4		20p13	AMP	6	1062	0.6%	No
C19ORF12		19q12	AMP	143	1537	9.3%	No
RNA5SP86		2p24.1	AMP	14	595	2.4%	No
DMXL1		5q23.1	HOMDEL	3	1062	0.3%	No
SSX3		Xp11.23	AMP	30	1537	2.0%	No
TRAPPC12		2p25.3	AMP	29	1537	1.9%	No
ZNF365		10q21.2	HOMDEL	2	902	0.2%	No
RN7SL351P		11q24.2	HOMDEL	7	595	1.2%	No
RNA5SP25		13q12.11	HOMDEL	1	539	0.2%	No
ZNF251		8q24.3	AMP	68	1537	4.4%	No
LINC01804		2p24.3	HOMDEL	1	56	1.8%	No
ADH1A		4q23	HOMDEL	4	1425	0.3%	No
NUP62		19q13.33	HOMDEL	2	1062	0.2%	No
SMC6		2p24.2	HOMDEL	3	651	0.5%	No
TRIP10		19p13.3	HOMDEL	9	1537	0.6%	No
UAP1L1		9q34.3	HOMDEL	3	902	0.3%	No
ZNF550		19q13.43	HOMDEL	2	1062	0.2%	No
TTC12		11q23.2	AMP	5	1014	0.5%	No
RN7SL525P		19q13.43	AMP	13	595	2.2%	No
ACTG1P20		1p36.11	HOMDEL	2	523	0.4%	No
ZNF585B		19q13.12	AMP	59	1537	3.8%	No
UCHL5		1q31.2	AMP	43	1425	3.0%	No
RNA5SP85		2p25.1	AMP	15	595	2.5%	No
DDX12P		12p13.31	AMP	10	942	1.1%	No
OLIG2		21q22.11	AMP	5	902	0.6%	Yes
LINC01020		5p15.32	AMP	20	886	2.3%	No
CKMT2-AS1		5q14.1	AMP	1	523	0.2%	No
KMT5B		11q13.2	AMP	34	1425	2.4%	No
BDP1		5q13.2	HOMDEL	12	1425	0.8%	No
NBR2		17q21.31	HOMDEL	1	539	0.2%	No
MYO1D		17q11.2	HOMDEL	7	1425	0.5%	No
RPS6KA6		Xq21.1	HOMDEL	3	1062	0.3%	No
CEMP1		16p13.3	AMP	15	1425	1.1%	No
RFX6		6q22.1	HOMDEL	2	1062	0.2%	No
SPAG16-DT		2q34	HOMDEL	1	523	0.2%	No
ANKRD36BP1		1q24.2	AMP	51	1537	3.3%	No
UBXN10		1p36.12	AMP	9	1537	0.6%	No
PYURF		4q22.1	HOMDEL	2	539	0.4%	No
LINC02171		4p16.3	AMP	5	523	1.0%	No
GLB1L		2q35	HOMDEL	3	1425	0.2%	No
LINC00661		19p13.12	AMP	56	1174	4.8%	No
ITIH5		10p14	HOMDEL	2	902	0.2%	No
RN7SL504P		3p21.2	AMP	9	539	1.7%	No
PPP1R3C		10q23.32	HOMDEL	7	1425	0.5%	No
TTC39C-AS1		18q11.2	AMP	8	579	1.4%	No
LRRC74A		14q24.3	HOMDEL	2	1062	0.2%	No
HDX		Xq21.1	HOMDEL	7	1062	0.7%	No
INPPL1		11q13.4	AMP	14	1425	1.0%	Yes
PAX8-AS1		2q14.1	AMP	45	942	4.8%	No
DGCR2		22q11.21	AMP	20	1537	1.3%	No
CD79A		19q13.2	HOMDEL	3	1190	0.3%	Yes
SECTM1		17q25.3	AMP	36	1537	2.3%	No
MED27		9q34.13	HOMDEL	3	902	0.3%	No
RPL8		8q24.3	AMP	68	1537	4.4%	No
OXA1L		14q11.2	HOMDEL	1	539	0.2%	No
LINC00167		11q24.3	AMP	15	1537	1.0%	No
BMS1P18		14q11.2	AMP	6	539	1.1%	No
ZNF532		18q21.32	HOMDEL	14	1425	1.0%	No
LAMB4		7q31.1	HOMDEL	2	902	0.2%	No
DISC1FP1		11q14.3	HOMDEL	6	1062	0.6%	No
ZBTB25		14q23.3	AMP	4	1014	0.4%	No
COX6B2		19q13.42	HOMDEL	2	1062	0.2%	No
TNFRSF10B		8p21.3	AMP	7	1425	0.5%	No
LINC01505		9q31.2	AMP	1	523	0.2%	No
ZNF445		3p21.31	AMP	2	902	0.2%	No
TRAPPC2		Xp22.2	AMP	11	1118	1.0%	No
INPP5D		2q37.1	AMP	12	1537	0.8%	Yes
RPL9		4p14	AMP	8	1425	0.6%	No
KCNE2		21q22.11	AMP	5	902	0.6%	No
MARVELD2		5q13.2	HOMDEL	10	1425	0.7%	No
E2F2		1p36.12	HOMDEL	7	1481	0.5%	No
ASRGL1		11q12.3	HOMDEL	3	475	0.6%	No
MEF2B		19p13.11	AMP	54	1734	3.1%	Yes
HCG23		6p21.32	AMP	19	1174	1.6%	No
LINC00404		13q34	HOMDEL	1	56	1.8%	No
EIF1		17q21.2	AMP	17	1537	1.1%	No
TBC1D32		6q22.31	HOMDEL	2	1062	0.2%	No
RNA5SP473		19q13.43	HOMDEL	1	539	0.2%	No
PAQR7		1p36.11	AMP	3	902	0.3%	No
AGAP10P		10q11.22	AMP	1	539	0.2%	No
MINPP1		10q23.2	HOMDEL	23	1425	1.6%	No
CAVIN3		11p15.4	HOMDEL	5	1062	0.5%	No
ZNF45		19q13.31	AMP	19	1174	1.6%	No
TNFRSF10C		8p21.3	AMP	7	1425	0.5%	No
NME4		16p13.3	AMP	20	1481	1.4%	No
UFSP2		4q35.1	HOMDEL	17	1537	1.1%	No
CCDC198		14q22.3	HOMDEL	1	539	0.2%	No
SPDYE3		7q22.1	AMP	27	1537	1.8%	No
TRIM13		13q14.2	AMP	2	1062	0.2%	No
PLD5		1q43	AMP	52	1537	3.4%	No
RN7SL849P		9p23	AMP	9	595	1.5%	No
RPL10		Xq28	AMP	23	1537	1.5%	Yes
TSEN34		19q13.42	HOMDEL	2	1062	0.2%	No
CCR8		3p22.1	AMP	11	1425	0.8%	No
UBE2L3		22q11.21	AMP	20	1537	1.3%	No
ECE2		3q27.1	HOMDEL	6	1425	0.4%	No
MLX		17q21.2	HOMDEL	1	539	0.2%	No
ZNF630		Xp11.23	HOMDEL	6	1425	0.4%	No
UACA		15q23	HOMDEL	1	539	0.2%	No
HCG15		6p21	AMP	7	595	1.2%	No
MAPK1IP1L		14q22.3	AMP	4	1062	0.4%	No
OTOAP1		16p12.2	HOMDEL	2	886	0.2%	No
NME3		16p13.3	AMP	12	1537	0.8%	No
YBX3		12p13.2	AMP	13	1537	0.8%	No
LGALS7B		19q13.2	AMP	60	1537	3.9%	No
TNFRSF10A		8p21.3	AMP	7	1425	0.5%	No
C5ORF52		5q33.3	AMP	7	1537	0.5%	No
THAP7-AS1		22q11.21	AMP	8	579	1.4%	No
PDE2A		11q13.4	HOMDEL	1	363	0.3%	No
ICA1L		2q33.2	AMP	9	1537	0.6%	No
PATJ		1p31.3	AMP	14	1537	0.9%	No
RN7SL846P		10q26.11	AMP	4	539	0.7%	No
AFF3		2q11.2	AMP	7	1425	0.5%	Yes
RPL11		1p36.11	AMP	8	1014	0.8%	No
ACKR2		3p22.1	AMP	4	1425	0.3%	No
RN7SKP96		4q21.3	HOMDEL	2	539	0.4%	No
INPP5B		1p34.3	AMP	21	1481	1.4%	No
NME2		17q21.33	AMP	17	1481	1.1%	No
C17ORF102		17q12	HOMDEL	9	1537	0.6%	No
CASP8AP2		6q15	AMP	4	651	0.6%	No
IQSEC3		12p13.33	AMP	29	1537	1.9%	No
SNORA80B		2p25.1	HOMDEL	3	651	0.5%	No
CST7		20p11.21	AMP	3	1062	0.3%	No
SCEL		13q22.3	AMP	11	1014	1.1%	No
GLIS3-AS1		9p24.2	HOMDEL	7	886	0.8%	No
ESR2		14q23.2-q23.3	HOMDEL	3	1062	0.3%	No
LCA5		6q14.1	AMP	7	1481	0.5%	No
RN7SL856P		2p23.3	AMP	13	595	2.2%	No
RN7SL623P		5q35.1	AMP	5	595	0.8%	No
LINC01096		4p15.33	AMP	7	886	0.8%	No
RN7SL420P		1p13.1	HOMDEL	1	539	0.2%	No
RPL12		9q33.3	AMP	9	1481	0.6%	No
CCR6		6q27	AMP	6	1014	0.6%	No
NME1		17q21.33	AMP	17	1481	1.1%	No
SKP1P2		12p12.3	HOMDEL	1	523	0.2%	No
LAD1		1q32.1	AMP	58	1481	3.9%	No
QSOX2		9q34.3	HOMDEL	3	902	0.3%	No
ERVV-2		19q13.41	AMP	5	579	0.9%	No
FCN2		9q34.3	HOMDEL	3	902	0.3%	No
UBE2N		12q22	AMP	4	1425	0.3%	No
SCO2		22q13.33	AMP	7	1425	0.5%	No
CEP104		1p36.32	AMP	9	1481	0.6%	No
ASB6		9q34.11	HOMDEL	5	1425	0.4%	No
MGAM		7q34	HOMDEL	1	539	0.2%	Yes
DMBT1L1		10q26.13	AMP	5	886	0.6%	No
INPP5A		10q26.3	AMP	18	1537	1.2%	No
LINC00901		3q13.31	HOMDEL	17	595	2.9%	No
COPS3		17p11.2	AMP	13	1537	0.8%	No
PEX11B		1q21.1	AMP	77	1537	5.0%	No
RN7SL608P		17p13.3	AMP	6	595	1.0%	No
RN7SL850P		16p13.3	AMP	6	539	1.1%	No
RPL13		16q24.3	AMP	3	1425	0.2%	No
CCR7		17q21.2	AMP	20	1537	1.3%	No
NLRP11		19q13.43	HOMDEL	2	1062	0.2%	No
L1CAM		Xq28	AMP	27	1537	1.8%	No
ZNF821		16q22.2	HOMDEL	21	1425	1.5%	No
NAGA		22q13.2	HOMDEL	10	1481	0.7%	No
TGFBI		5q31.1	HOMDEL	1	539	0.2%	No
HCG24		6p21	AMP	6	539	1.1%	No
DCAF1		3p21.2	AMP	5	1425	0.4%	No
TENT5C		1p12	HOMDEL	3	1425	0.2%	Yes
UBE2V1		20q13.13	AMP	59	1537	3.8%	No
CTSE		1q32.1	HOMDEL	2	112	1.8%	No
CPZ		4p16.1	AMP	9	1481	0.6%	No
INPP4A		2q11.2	AMP	14	1734	0.8%	Yes
ZKSCAN5		7q22.1	AMP	12	1537	0.8%	No
DYRK4		12p13.32	AMP	21	1537	1.4%	No
LINC00575		4q21.22	AMP	2	1062	0.2%	No
ARHGEF16		1p36.32	HOMDEL	10	1481	0.7%	No
GAREM2		2p23.3	HOMDEL	2	112	1.8%	No
AKAP4		Xp11.22	HOMDEL	6	1425	0.4%	No
RPL15		3p24.2	AMP	5	1425	0.4%	No
